timestamp_us,t_s,imu_wx_rad_s,imu_wy_rad_s,imu_wz_rad_s,imu_ax_m_s2,imu_ay_m_s2,imu_az_m_s2,mag_x,mag_y,mag_z,baro_alt_m,baro_alt_rel_m,baro_z_down_rel_m,gps_available,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_n_m,gps_e_m,gps_d_m,gps_vn_m_s,gps_ve_m_s,gps_vd_m_s,gps_fix_type,gps_sats,gps_eph_m,gps_epv_m,gps_interp_n_m,gps_interp_e_m,gps_interp_d_m,gps_interp_vn_m_s,gps_interp_ve_m_s,gps_interp_vd_m_s,px4_local_n_m,px4_local_e_m,px4_local_d_m,px4_local_vn_m_s,px4_local_ve_m_s,px4_local_vd_m_s,att_q0,att_q1,att_q2,att_q3,att_roll_rad,att_pitch_rad,att_yaw_rad,est_q0,est_q1,est_q2,est_q3,est_vn_m_s,est_ve_m_s,est_vd_m_s,est_n_m,est_e_m,est_d_m,ias_m_s,tas_m_s,px4_wind_n_m_s,px4_wind_e_m_s,px4_wind_d_m_s
2675355053,174.0999999999999,0.05798239152799999,-0.02026690308,0.028482006715999996,0.08604174680000004,0.48195385479999997,-9.041348076,,,,432.3288433333334,118.85197333333333,-118.85197333333333,1,47.3846797,8.1483641,533.491,76.65460136069218,-173.35647531586218,-126.20499999999998,-0.13800001,-16.251001,-0.108,4.0,18.0,0.44300002,0.67600006,76.65140290405724,-173.58927905312078,-126.20543098336765,-0.14769713505426862,-16.249923469750264,-0.09751273783787247,77.18232274534043,-174.14367648082822,-119.5975216437092,-0.31596643671690716,-16.062729281766362,0.04919318677939693,-0.7357653800387693,0.020687801801650824,-0.04734718271998499,0.6752621563331666,-0.09460985447379659,0.04174511560870335,-1.4870679840707874,,,,,,,,,,,14.49366368266254,15.105454168827398,-0.5339682975091485,-1.0138075723009319,0.0
2675455053,174.19999999999993,0.10985477192,-0.001285976622399998,0.0021711205247999994,-0.12785137028000004,0.5033218678000001,-9.637710903999999,,,,432.27115000000003,118.79427999999997,-118.79427999999997,0,,,,,,,,,,,,,,76.62902825113697,-175.21784664499623,-126.20844590724082,-0.21553291717577006,-16.24238565758002,-0.024149588749886944,77.15490029658814,-175.75279731800728,-119.58727965441383,-0.3586945594151234,-16.02855625048998,0.11325679577412903,-0.7367631727417641,0.019156208321310247,-0.04466859011695943,0.6744017605801088,-0.08866326571287866,0.039992944065297145,-1.484245283433848,,,,,,,,,,,14.625205400916917,15.24241449055015,-0.5339844447149303,-1.0137509070525215,0.0
2675555053,174.29999999999995,0.19340274040000008,-0.023030081392000003,-0.0185967347496,-0.034494018400000014,0.3847022778400001,-9.196386972,,,,432.5001485714286,119.02327857142856,-119.02327857142856,1,47.384679299999995,8.1483211,533.497,76.61007356391556,-176.59748768045353,-126.21099999999996,-0.273,-16.236,0.038000003,4.0,18.0,0.441,0.67300004,76.60667545435989,-176.84424821422814,-126.21122894303257,-0.2734578860652055,-16.227071298042837,0.039831547260821804,77.12313035443545,-177.35895554595461,-119.57881641094109,-0.3918409781108111,-16.010967927642763,0.12927987796239623,-0.7368501984546908,0.015164987004356957,-0.04083608897031627,0.6746508251769425,-0.07758786597651877,0.03972855299730301,-1.484263515446237,,,,,,,,,,,14.661263569108591,15.280291817613993,-0.5340240263392124,-1.013149369883101,0.0
2675655053,174.39999999999998,0.06384553558399998,-0.018186879336,-0.03802571904,-0.034233740000000026,0.4426317828,-8.290540184000001,,,,432.31442857142855,118.83755857142856,-118.83755857142856,0,,,,,,,,,,,,,,76.58444379223572,-178.45864490231855,-126.21272677118176,-0.27645354236357284,-16.168656499500724,0.05181417245429128,77.08955663687405,-178.96435215151575,-119.5661229885525,-0.41077409267865644,-15.995053959467503,0.19938696376547496,-0.7363524525618169,0.008831865300374839,-0.03360713519085268,0.6757053775238605,-0.058498376153465786,0.037566762102323285,-1.4860494702288936,,,,,,,,,,,14.647864168595042,15.265714710743802,-0.5340749200066671,-1.0124693307362724,0.0
2675755053,174.5,0.053460053508000004,-0.0021115137679999997,-0.04000028912,-0.14340063624000002,0.23563247440000004,-7.8713146919999994,,,,432.26460428571437,118.78773428571427,-118.78773428571427,1,47.3846789,8.1482782,533.5,76.56554576784707,-179.8309628070298,-126.214,-0.279,-16.119001,0.062000003,4.0,18.0,0.44000003,0.67,76.56053966250887,-180.07162028098367,-126.21175146952974,-0.28454637665896915,-16.11802656184521,0.08126241380361784,77.05352090706839,-180.56662321003316,-119.54598085681612,-0.41556390208418625,-15.967640473595694,0.34652525760511266,-0.7350627714372305,0.007092929188945823,-0.030805794324939073,0.6772615617859151,-0.05221154454043173,0.03568865023940726,-1.4899214584800888,,,,,,,,,,,14.694709907431552,15.315586922890668,-0.5341491894454058,-1.0116270711805164,0.0
2675855053,174.5999999999999,0.027066159400000008,0.034127782355999996,-0.04113053135999999,0.14608525336,0.31559071248,-8.946626756,,,,432.1407933333334,118.66392333333333,-118.66392333333333,0,,,,,,,,,,,,,,76.52715449853295,-181.67653841338685,-126.19675626799426,-0.32153455044335816,-16.11152814133977,0.20972130545828832,77.01877569759763,-182.17218541128443,-119.51062738136739,-0.42413417258767494,-15.947175526690215,0.5399747808168656,-0.7336884160696102,0.005423824846351322,-0.028981577587429416,0.6788457524915918,-0.04735391146482384,0.03517062703954918,-1.494016710264201,,,,,,,,,,,14.597741829920976,15.214340559626436,-0.5342106156663916,-1.01087997119978,0.0
2675955053,174.69999999999993,0.042735449096,0.026111204896000002,-0.039150516,0.27264156879999996,0.4940489527999999,-10.38589066,,,,431.8678814285714,118.39101142857143,-118.39101142857143,1,47.3846783,8.1482356,533.47,76.49875407339026,-183.04182621944094,-126.18400000000003,-0.35300002,-16.106,0.319,4.0,18.0,0.439,0.66800004,76.49456998770415,-183.28262845839674,-126.17858757545704,-0.3514965672346103,-16.10291792491303,0.3280958823899045,76.98268199976918,-183.77634660145992,-119.46108814761918,-0.42465379527501274,-15.944842267616878,0.6267848340092521,-0.7321983236748902,0.003364369109429112,-0.029366510167946017,0.6804496919668678,-0.04494012589903183,0.03843511709350109,-1.4984282470540717,,,,,,,,,,,14.328247707039615,14.933588398554605,-0.5342400164014101,-1.0103701584544613,0.0
2676055053,174.79999999999995,0.006288865479166667,0.01314325453333333,-0.04483608108333332,0.2460486759166666,0.25269077875,-10.575809104166664,,,,432.1528757142857,118.6760057142857,-118.6760057142857,0,,,,,,,,,,,,,,76.46654717820647,-184.89539544624614,-126.14233799711013,-0.3414272298466945,-16.082275803909923,0.3890153277713558,76.94704311242651,-185.38399039315283,-119.4120786233652,-0.4439449658696957,-15.944233448826141,0.5342034831588209,-0.7307970965433179,0.0010044706000500061,-0.02892794588629829,0.6819806346043256,-0.04097062080342501,0.04092246159579927,-1.502555128254101,,,,,,,,,,,14.145876383894656,14.74287326977294,-0.5342627754115171,-1.0102819920514083,0.0
2676155053,174.89999999999998,-0.022641534997800004,0.007968854575999999,-0.025840101122399997,0.02249916800000001,0.2492530916,-9.968724136,,,,431.79376499999995,118.316895,-118.316895,1,47.3846778,8.1481931,533.398,76.44309432848165,-186.24515239371706,-126.11200000000002,-0.333,-16.065,0.44000003,4.0,18.0,0.439,0.669,76.43674119692527,-186.50693478247842,-126.10229790425151,-0.3349567268235812,-16.066712134543856,0.4432612378396592,76.90882972841466,-186.99047337527037,-119.36905843132975,-0.45284935156271705,-15.942634433294307,0.47314019450360173,-0.7292285428712159,0.0004953450812596947,-0.029052895447616963,0.6836530170581061,-0.040492861942787804,0.04170720260012821,-1.5071490573910895,,,,,,,,,,,14.168149896811265,14.765780765134346,-0.5342689768559165,-1.0112449738230684,0.0
2676255053,175.0,0.013010281504,0.009441249208000003,-0.0048115418064,0.2158777872000001,0.22316460368,-10.544753692000002,,,,431.7440685714286,118.26719857142857,-118.26719857142857,0,,,,,,,,,,,,,,76.39778404978041,-188.11217385999467,-126.0428050433948,-0.3469552969951606,-16.077210874695037,0.46325883312822463,76.87120618291394,-188.59713979699725,-119.32364381053077,-0.46453286491012896,-15.931021700993867,0.4585907361958131,-0.7283248463176681,0.0010839285940511599,-0.030121555054729326,0.6845688523200476,-0.04287111706660525,0.04240520946174876,-1.5097872458026902,,,,,,,,,,,14.137826190364065,14.733279586850209,-0.5342869124096861,-1.0122037678325175,0.0
